Date,Open,High,Low,Close,Change(Pips),Change(%)
05/31/2023 00:00,0.65176,0.65185,0.65102,0.65167,-0.9,-0.01
05/30/2023 23:00,0.6515,0.65219,0.6515,0.65175,2.5,0.04
05/30/2023 22:00,0.65165,0.65173,0.65149,0.65155,-1,-0.02
05/30/2023 21:00,0.65118,0.65192,0.65057,0.65165,4.7,0.07
05/30/2023 20:00,0.65181,0.65182,0.65155,0.65173,-0.8,-0.01
05/30/2023 19:00,0.65115,0.65188,0.65101,0.65183,6.8,0.1
05/30/2023 18:00,0.65042,0.65131,0.65029,0.65109,6.7,0.1
05/30/2023 17:00,0.65099,0.65106,0.65036,0.65043,-5.6,-0.09
05/30/2023 16:00,0.65122,0.65161,0.65079,0.651,-2.2,-0.03
05/30/2023 15:00,0.65161,0.65178,0.65084,0.65121,-4,-0.06
05/30/2023 14:00,0.65202,0.65305,0.65135,0.65163,-3.9,-0.06
05/30/2023 13:00,0.65353,0.65385,0.65202,0.65202,-15.1,-0.23
05/30/2023 12:00,0.65523,0.65545,0.65337,0.65349,-17.4,-0.27
05/30/2023 11:00,0.65414,0.65528,0.65374,0.65523,10.9,0.17
05/30/2023 10:00,0.6545,0.65499,0.65382,0.65418,-3.2,-0.05
05/30/2023 09:00,0.65424,0.65494,0.65366,0.6545,2.6,0.04
05/30/2023 08:00,0.65315,0.65431,0.65314,0.65425,11,0.17
05/30/2023 07:00,0.65244,0.65318,0.65199,0.65315,7.1,0.11
05/30/2023 06:00,0.65068,0.65252,0.65065,0.65241,17.3,0.27
05/30/2023 05:00,0.65174,0.65197,0.6503,0.6507,-10.4,-0.16
05/30/2023 04:00,0.65129,0.65184,0.65098,0.6517,4.1,0.06
05/30/2023 03:00,0.65387,0.65395,0.65106,0.65131,-25.6,-0.39
05/30/2023 02:00,0.65507,0.65539,0.65376,0.65386,-12.1,-0.19
05/30/2023 01:00,0.65397,0.65591,0.65397,0.65503,10.6,0.16
05/30/2023 00:00,0.65276,0.65427,0.65267,0.65397,12.1,0.19
05/29/2023 23:00,0.65396,0.65397,0.65282,0.65282,-11.4,-0.17
05/29/2023 22:00,0.65372,0.65434,0.65362,0.65393,2.1,0.03
05/29/2023 21:00,0.65357,0.65392,0.65354,0.65379,2.2,0.03
05/29/2023 20:00,0.65387,0.65408,0.65384,0.65394,0.7,0.01
05/29/2023 19:00,0.6539,0.654,0.65385,0.65389,-0.1,0
05/29/2023 18:00,0.6539,0.65393,0.65385,0.65389,-0.1,0
05/29/2023 17:00,0.65386,0.654,0.65383,0.65389,0.3,0
05/29/2023 16:00,0.6541,0.6541,0.65379,0.65382,-2.8,-0.04
05/29/2023 15:00,0.65398,0.65423,0.65371,0.6541,1.2,0.02
05/29/2023 14:00,0.65358,0.65423,0.65351,0.65398,4,0.06
05/29/2023 13:00,0.65416,0.65427,0.65348,0.65356,-6,-0.09
05/29/2023 12:00,0.65391,0.65414,0.65361,0.65412,2.1,0.03
05/29/2023 11:00,0.65416,0.65467,0.65392,0.65397,-1.9,-0.03
05/29/2023 10:00,0.65387,0.65414,0.65348,0.65411,2.4,0.04
05/29/2023 09:00,0.65433,0.6545,0.6539,0.65392,-4.1,-0.06
05/29/2023 08:00,0.65339,0.65436,0.65287,0.65431,9.2,0.14
05/29/2023 07:00,0.65475,0.65475,0.6531,0.65341,-13.4,-0.21
05/29/2023 06:00,0.65449,0.65542,0.65441,0.65474,2.5,0.04
05/29/2023 05:00,0.654,0.65475,0.65375,0.6545,5,0.08
05/29/2023 04:00,0.65284,0.65402,0.65279,0.65393,10.9,0.17
05/29/2023 03:00,0.65345,0.65362,0.65268,0.65288,-5.7,-0.09
05/29/2023 02:00,0.65362,0.65437,0.65339,0.65342,-2,-0.03
05/29/2023 01:00,0.65289,0.65445,0.65261,0.65365,7.6,0.12
05/29/2023 00:00,0.65248,0.65306,0.65233,0.65287,3.9,0.06
05/28/2023 23:00,0.65237,0.65285,0.65222,0.65248,1.1,0.02
05/28/2023 22:00,0.65208,0.6526,0.65207,0.65238,3,0.05
05/28/2023 21:00,0.65208,0.65248,0.65176,0.65205,-0.3,0
05/26/2023 20:00,0.65188,0.65197,0.65164,0.6518,-0.8,-0.01
05/26/2023 19:00,0.65197,0.65211,0.6517,0.65191,-0.6,-0.01
05/26/2023 18:00,0.65125,0.65206,0.65121,0.65194,6.9,0.11
05/26/2023 17:00,0.65144,0.65167,0.65096,0.65125,-1.9,-0.03
05/26/2023 16:00,0.65096,0.6517,0.65095,0.65144,4.8,0.07
05/26/2023 15:00,0.65059,0.65108,0.64977,0.65095,3.6,0.06
05/26/2023 14:00,0.65126,0.65313,0.64992,0.65063,-6.3,-0.1
05/26/2023 13:00,0.65292,0.65318,0.65108,0.65119,-17.3,-0.27
05/26/2023 12:00,0.65415,0.6543,0.65202,0.65291,-12.4,-0.19
05/26/2023 11:00,0.65352,0.65445,0.65349,0.65415,6.3,0.1
05/26/2023 10:00,0.65271,0.65367,0.65261,0.65349,7.8,0.12
05/26/2023 09:00,0.65222,0.65286,0.65184,0.65274,5.2,0.08
05/26/2023 08:00,0.65188,0.65266,0.65177,0.65226,3.8,0.06
05/26/2023 07:00,0.65235,0.6526,0.65158,0.65188,-4.7,-0.07
05/26/2023 06:00,0.65148,0.65283,0.65113,0.65233,8.5,0.13
05/26/2023 05:00,0.65161,0.6521,0.65134,0.65154,-0.7,-0.01
05/26/2023 04:00,0.65117,0.65181,0.651,0.6516,4.3,0.07
05/26/2023 03:00,0.65082,0.65118,0.65049,0.65117,3.5,0.05
05/26/2023 02:00,0.65075,0.65155,0.65069,0.65082,0.7,0.01
05/26/2023 01:00,0.65,0.651,0.64974,0.65075,7.5,0.12
05/26/2023 00:00,0.64988,0.65017,0.64905,0.65001,1.3,0.02
05/25/2023 23:00,0.65053,0.65061,0.64974,0.64985,-6.8,-0.1
05/25/2023 22:00,0.65058,0.65071,0.65011,0.65047,-1.1,-0.02
05/25/2023 21:00,0.64992,0.65068,0.64991,0.65062,7,0.11
05/25/2023 20:00,0.65043,0.65057,0.65026,0.65049,0.6,0.01
05/25/2023 19:00,0.65036,0.65068,0.65013,0.6504,0.4,0.01
05/25/2023 18:00,0.65135,0.65169,0.65027,0.6504,-9.5,-0.15
05/25/2023 17:00,0.64991,0.65136,0.64987,0.65133,14.2,0.22
05/25/2023 16:00,0.65043,0.65052,0.64986,0.64988,-5.5,-0.08
05/25/2023 15:00,0.651,0.65156,0.6501,0.65044,-5.6,-0.09
05/25/2023 14:00,0.65049,0.65128,0.65009,0.65095,4.6,0.07
05/25/2023 13:00,0.65181,0.65245,0.65044,0.65055,-12.6,-0.19
05/25/2023 12:00,0.65279,0.65352,0.6515,0.65178,-10.1,-0.15
05/25/2023 11:00,0.65269,0.65284,0.652,0.65283,1.4,0.02
05/25/2023 10:00,0.65282,0.65336,0.65267,0.65268,-1.4,-0.02
05/25/2023 09:00,0.65308,0.65351,0.65233,0.65281,-2.7,-0.04
05/25/2023 08:00,0.65317,0.65356,0.6528,0.65309,-0.8,-0.01
05/25/2023 07:00,0.65347,0.65361,0.6527,0.65313,-3.4,-0.05
05/25/2023 06:00,0.65271,0.65428,0.65224,0.65349,7.8,0.12
05/25/2023 05:00,0.65259,0.65287,0.65227,0.65268,0.9,0.01
05/25/2023 04:00,0.65281,0.65291,0.65231,0.65264,-1.7,-0.03
05/25/2023 03:00,0.65297,0.65326,0.65234,0.65282,-1.5,-0.02
05/25/2023 02:00,0.65322,0.6536,0.65274,0.65294,-2.8,-0.04
05/25/2023 01:00,0.6541,0.65445,0.65261,0.65324,-8.6,-0.13
05/25/2023 00:00,0.65432,0.65439,0.65368,0.65408,-2.4,-0.04
05/24/2023 23:00,0.65444,0.65457,0.65411,0.65434,-1,-0.02
05/24/2023 22:00,0.65451,0.6546,0.65385,0.65446,-0.5,-0.01
05/24/2023 21:00,0.65329,0.65458,0.65329,0.65452,12.3,0.19
05/24/2023 20:00,0.6539,0.65444,0.6539,0.65438,4.8,0.07
05/24/2023 19:00,0.65354,0.65451,0.65346,0.65386,3.2,0.05
05/24/2023 18:00,0.65402,0.65456,0.65349,0.65354,-4.8,-0.07
05/24/2023 17:00,0.6537,0.65429,0.65318,0.65405,3.5,0.05
05/24/2023 16:00,0.65401,0.65418,0.65297,0.65373,-2.8,-0.04
05/24/2023 15:00,0.65372,0.65483,0.65342,0.65399,2.7,0.04
05/24/2023 14:00,0.65481,0.65492,0.65311,0.65371,-11,-0.17
05/24/2023 13:00,0.65725,0.65752,0.65473,0.65483,-24.2,-0.37
05/24/2023 12:00,0.65769,0.65852,0.65704,0.65722,-4.7,-0.07
05/24/2023 11:00,0.65618,0.6577,0.65615,0.6577,15.2,0.23
05/24/2023 10:00,0.65739,0.65741,0.65609,0.65618,-12.1,-0.18
05/24/2023 09:00,0.65797,0.65841,0.6573,0.65735,-6.2,-0.09
05/24/2023 08:00,0.65704,0.65818,0.65682,0.65796,9.2,0.14
05/24/2023 07:00,0.65822,0.65831,0.65669,0.65703,-11.9,-0.18
05/24/2023 06:00,0.65961,0.65999,0.65795,0.65828,-13.3,-0.2
05/24/2023 05:00,0.65965,0.66016,0.65941,0.65957,-0.8,-0.01
05/24/2023 04:00,0.66013,0.66039,0.6596,0.65964,-4.9,-0.07
05/24/2023 03:00,0.6597,0.66083,0.65929,0.66013,4.3,0.07
05/24/2023 02:00,0.66104,0.66104,0.65855,0.65972,-13.2,-0.2
05/24/2023 01:00,0.66113,0.6615,0.66016,0.66105,-0.8,-0.01
05/24/2023 00:00,0.66136,0.66143,0.66081,0.66113,-2.3,-0.03
05/23/2023 23:00,0.66128,0.66139,0.66099,0.66137,0.9,0.01
05/23/2023 22:00,0.66103,0.66134,0.66095,0.66124,2.1,0.03
05/23/2023 21:00,0.66083,0.66114,0.66076,0.66103,2,0.03
05/23/2023 20:00,0.66078,0.66103,0.66071,0.6609,1.2,0.02
05/23/2023 19:00,0.66113,0.66115,0.66075,0.6608,-3.3,-0.05
05/23/2023 18:00,0.66143,0.66151,0.66081,0.66114,-2.9,-0.04
05/23/2023 17:00,0.66141,0.66191,0.66123,0.66137,-0.4,-0.01
05/23/2023 16:00,0.66212,0.66214,0.66129,0.66142,-7,-0.11
05/23/2023 15:00,0.66199,0.66265,0.66152,0.66215,1.6,0.02
05/23/2023 14:00,0.66228,0.66305,0.66164,0.66199,-2.9,-0.04
05/23/2023 13:00,0.66125,0.66251,0.66119,0.6623,10.5,0.16
05/23/2023 12:00,0.66159,0.66204,0.66104,0.66121,-3.8,-0.06
05/23/2023 11:00,0.66196,0.66252,0.6616,0.6616,-3.6,-0.05
05/23/2023 10:00,0.66193,0.66229,0.66136,0.66195,0.2,0
05/23/2023 09:00,0.66296,0.66317,0.66192,0.66194,-10.2,-0.15
05/23/2023 08:00,0.66278,0.66348,0.66206,0.66292,1.4,0.02
05/23/2023 07:00,0.66472,0.66476,0.66259,0.66278,-19.4,-0.29
05/23/2023 06:00,0.66492,0.666,0.6644,0.66475,-1.7,-0.03
05/23/2023 05:00,0.66515,0.66522,0.66423,0.6649,-2.5,-0.04
05/23/2023 04:00,0.66551,0.66566,0.66504,0.66517,-3.4,-0.05
05/23/2023 03:00,0.66542,0.66576,0.66469,0.66553,1.1,0.02
05/23/2023 02:00,0.66495,0.66564,0.66406,0.66542,4.7,0.07
