Date,Moving Average
26-06-2023,
25-06-2023,
24-06-2023,
23-06-2023,
22-06-2023,
21-06-2023,
20-06-2023,
19-06-2023,
18-06-2023,
17-06-2023,
26-05-2023,
25-05-2023,
24-05-2023,
23-05-2023,
22-05-2023,
21-05-2023,
20-05-2023,
19-05-2023,
18-05-2023,
17-05-2023,0.669141
26-04-2023,0.6692265
25-04-2023,0.6692735
24-04-2023,0.669731
23-04-2023,0.6701555
22-04-2023,0.6700325
21-04-2023,0.6695305
20-04-2023,0.6691155
19-04-2023,0.668387
18-04-2023,0.667557
17-04-2023,0.6675595
26-03-2023,0.6684255
25-03-2023,0.6689215
24-03-2023,0.6694445
23-03-2023,0.6699425
22-03-2023,0.6700825
21-03-2023,0.6700875
20-03-2023,0.670388
19-03-2023,0.6703845
18-03-2023,0.6702615
17-03-2023,0.669657
26-02-2023,0.6705465
25-02-2023,0.6714815
24-02-2023,0.6721535
23-02-2023,0.6729535
22-02-2023,0.673808
21-02-2023,0.6752515
20-02-2023,0.6765665
19-02-2023,0.6775815
18-02-2023,0.6785515
17-02-2023,0.679326
26-01-2023,0.680683
25-01-2023,0.681935
24-01-2023,0.683029
23-01-2023,0.684134
22-01-2023,0.685724
21-01-2023,0.6874755
20-01-2023,0.688575
19-01-2023,0.689764
18-01-2023,0.6911465
17-01-2023,0.692719
25-12-2022,0.6926505
24-12-2022,0.6924735
23-12-2022,0.691846
22-12-2022,0.6914285
21-12-2022,0.690872
20-12-2022,0.689918
19-12-2022,0.688952
18-12-2022,0.6880385
17-12-2022,0.687039
16-12-2022,0.685879
25-11-2022,0.6844555
24-11-2022,0.6831455
23-11-2022,0.681318
22-11-2022,0.6785745
21-11-2022,0.6762185
20-11-2022,0.673752
19-11-2022,0.67141
18-11-2022,0.6692565
17-11-2022,0.66701
16-11-2022,0.663973
25-10-2022,0.661163
24-10-2022,0.663745
23-10-2022,0.6614775
22-10-2022,0.658985
21-10-2022,0.65708
20-10-2022,0.6556605
19-10-2022,0.6543525
18-10-2022,0.6532415
17-10-2022,0.651841
16-10-2022,0.6502935
25-09-2022,0.6510135
24-09-2022,0.65133
23-09-2022,0.6520585
22-09-2022,0.6535455
21-09-2022,0.6550565
20-09-2022,0.656628
19-09-2022,0.6584325
18-09-2022,0.6600975
17-09-2022,0.6619365
16-09-2022,0.664767
25-08-2022,0.667817
24-08-2022,0.6655055
23-08-2022,0.668474
22-08-2022,0.6718715
21-08-2022,0.6744865
20-08-2022,0.676378
19-08-2022,0.6789295
18-08-2022,0.6812665
17-08-2022,0.6837665
16-08-2022,0.6867685
25-07-2022,0.686443
24-07-2022,0.6865905
23-07-2022,0.6871705
22-07-2022,0.687595
21-07-2022,0.6875835
20-07-2022,0.68813
19-07-2022,0.688523
18-07-2022,0.6890635
17-07-2022,0.6895285
16-07-2022,0.689976
